,0
56,Avs eliminate top-seeded Flames in Game 5
57,"Leafs score twice in 3rd, lead Bruins 3-2 in series"
58,NHL notebook: Wings legend Yzerman takes GM job
59,Report: Red Wings to hire Yzerman as GM
60,NHL roundup: Hurricanes top Caps in final seconds
61,"Hertl, Sharks send series back to Vegas for Game 6"
62,Facebook settlement with U.S. may include privacy oversight: Politico
63,Official says White House never told him to change a security clearance decision -source
64,U.S. lawmakers drafting privacy bill argue about pre-empting California
65,Last-minute goal lifts Blues to 3-2 series lead on Jets
66,"Mrazek, Hurricanes edge Caps, even series 2-2"
67,NHL roundup: Avs put Flames on brink with OT win
68,Rantanen’s OT one-timer puts Avs on brink of dousing Flames
69,"Hintz helps Stars top Predators, level series"
70,"Pastrnak tallies twice, Bruins draw level with Leafs"
71,Reeling Sharks still confident at home vs. Knights
72,NHL roundup: Lightning swept out of postseason
73,"Fleury, Knights shut out Sharks to take 3-1 series lead"
74,Jets' first-ever playoff OT win evens series with Blues
75,Lawmaker says he is trying to nail down a date for Mueller to testify
76,DOJ misses House subpoena deadline for full Mueller report: aide
77,House panel seeks Justice Department probe of Trump backer Prince
78,Jets' first-ever playoff OT win evens series with Blues
79,"Lehner, Isles shut down Penguins to seal sweep"
80,Jackets complete shocking sweep of Lightning
81,Hurricanes' Svechnikov in concussion protocol
82,NHL roundup: Hurricanes halt Caps' playoff win streak
83,Makar scores in NHL debut as Avs overpower Flames
84,"Predators slip past Stars, take series lead"
85,Matthews helps Maple Leafs edge Bruins
86,"Hurricanes blank Caps, cut series deficit in half"
87,NHL roundup: Blue Jackets push Lightning to brink of elimination
88,U.S. lawmakers struggle to draft online privacy bill
89,Trump weighs labeling Muslim Brotherhood a terrorist group
90,Five ways Trump's moves to stem asylum seekers have hit hurdles
91,NHL roundup: Blue Jackets push Lightning to brink of elimination
92,"Stone (hat trick), Stastny get 5 points each as Knights sink Sharks"
93,Jets erupt for six goals to beat Blues
94,Jets erupt for six goals to beat Blues
95,"Bobrovsky, Jackets beat short-handed Lightning to take 3-0 lead"
96,"Eberle, Islanders put Penguins on brink of elimination"
97,"Eberle, Islanders put Penguins on brink of elimination"
98,"Bobrovsky, Jackets beat short-handed Lightning to take 3-0 lead"
99,"NHL notebook: Leafs' Kadri offered hearing, could be suspended"
100,Vegas signs KHL's Gusev for playoffs
101,Republican Senator Ernst 'unlikely' to back Moore for Fed
102,Trump says he is monitoring Venezuela situation
103,Prosecutors oppose giving unredacted Mueller report to Trump adviser Stone
104,Vegas signs KHL's Gusev for playoffs
105,"NHL roundup: Caps beat Hurricanes in OT, take 2-0 series lead"
106,"Avs, MacKinnon rally to beat Flames in OT"
107,"Marchand, Bruins blitz Leafs, even first-round series"
108,Predators beat Stars in OT to even series
109,Orpik's goal lifts Capitals over Hurricanes in OT
110,Lightning star Kucherov suspended for Game 3
111,NHL roundup: Jackets shock Lightning again
112,Lightning's Kucherov to face hearing over hit
113,Short-handed goals help Knights even series with Sharks
114,White House says will reappoint Puerto Rico oversight board
115,House panel chairman says Barr must testify Thursday
116,"Rod Rosenstein, U.S. deputy attorney general who appointed Mueller, submits resignation"
117,Blues win see-saw battle to take 2-0 series lead over Jets
118,Islanders take 2-0 series lead over visiting Penguins
119,NHL roundup: Marner nets two to lead Leafs past Bruins
120,Golden Knights may get playoff boost from KHL MVP
121,"Smith, Flames blank Avs in playoff opener"
122,"Capitals strike early, hold off Canes' rally in Game 1"
123,"Marner, Leafs handle Bruins in Game 1"
124,Capitals sign C Dowd to three-year extension
125,Capitals recall goalie Samsonov
126,"NHL playoff roundup: Jackets rally, stun Lightning"
127,Democrats insist on 'substantial' new revenue for U.S. infrastructure
128,Trump administration eyes more aid to farmers if necessary: White House aide
129,Trump nemesis Avenatti pleads not guilty in bank fraud case
130,Sharks storm past Knights in Game 1
131,Heiskanen's 2 goals send Stars past Preds in opener
132,Blues stun Jets to take Game 1
133,Bailey's OT goal gets Islanders past Penguins in opener
134,Jackets roar back to stun Lightning in Game 1
135,Jackets roar back to stun Lightning in Game 1
136,Devils win No. 1 pick in NHL draft
137,NHL notebook: Bettman suspends D Voynov for 2019-20
138,Voynov suspended for 2019-20 season
139,NHL notebook: Panthers hire Quenneville as coach
140,House panel to interview ex-White House security clearance chief
141,Trump's Fed pick Moore not planning to drop out of Fed consideration: interview
142,Democratic presidential candidates seek union support at workers' forum
143,Tallon hires Quenneville to coach Panthers
144,NHL roundup: Predators beat Blackhawks to win division crown
145,NHL playoff pairings: Dominant Lightning face Blue Jackets
146,Kings finish disappointing season with win over Knights
147,Jets get ready for postseason with win over Coyotes
148,"Assured of second West wild card, Avs lose to Sharks"
149,Blues finish 3rd in Central despite shootout win
150,Injury to McDavid taints Oilers' win over Flames
151,Predators capture division crown as they defeat Blackhawks
152,Poehling dazzles in debut to lead Canadiens past Leafs
153,"Senator Warren offers military housing bill to boost inspections, transparency"
154,"Under fire, former U.S. V.P. Biden says he did not treat Anita Hill badly"
155,Factbox: Crowd of U.S. Congress committees investigating Trump
156,Devils finish with OT win over Panthers
157,"Islanders blank Capitals, clinch home-ice edge"
158,"Hot Blue Jackets down Senators, settle for second wild card"
159,"Stars find offense late, beat Wild to clinch top wild card"
160,Rangers end season with OT win over playoff-bound Penguins
161,Staal scores go-ahead goal as Hurricanes complete Flyers sweep
162,Skinner scores twice as Sabres defeat Red Wings
163,Lightning beat Bruins to match season wins mark
164,NHL roundup: Blue Jackets clinch last playoff spot
165,Ducks conquer Kings to conclude season
166,Explainer: What does it take to remove a U.S. president from office?
167,Democratic hopeful Hickenlooper to take on monopolies in economic plan
168,U.S. judges order Michigan to revamp Republican-drawn districts in gerrymandering case
169,Blackhawks keep Stars from clinching 7 seed
170,"Jackets survive Rangers in SO, clinch last playoff spot"
171,Maple Leafs recall G Hutchinson with Sparks struggling
172,NHL roundup: Hurricanes end long playoff drought
173,Coyotes eliminated despite win over Knights
174,Avalanche score playoff berth with OT win over Jets
175,Islanders outlast Panthers in shootout
176,Hurricanes lock up playoff spot with win over Devils
177,Burns reaches milestone as Sharks edge Oilers
178,Historic start thrusts Blues past Flyers
179,"Two years and 448 pages later, some Mueller fans ask: was he tough enough?"
180,Trump immigration plan may increase visas for highly skilled workers: sources
181,Trump says he is holding big Pharma accountable in opioid fight
182,Johansen tallies late to lift Preds over Canucks
183,Eichel helps Sabres snap skid vs. Senators
184,Capitals clinch division by beating Canadiens
185,Bruins blank Wild behind Halak's 26 saves
186,"Penguins rip Red Wings, clinch playoff berth"
187,Lightning move one win from tying NHL mark
188,Sather steps down as Rangers' president
189,"NHL roundup: Toews, Kane set career marks in Chicago's win"
190,Ducks win as playoff-bound Flames rest regulars
191,"Toews, Kane set career marks in Blackhawks' win"
192,"U.S. federal judge to block Trump's new abortion rule: media, activists"
193,"After Trump tweet, UK spy agency says claim it spied on Trump is utterly ridiculous"
194,Democrats to press star witness of Mueller report to repeat performance in Congress
195,Senators clinch season series over Rangers
196,"NHL roundup: Habs sink Lightning, pull even with Jackets"
197,Canucks come from behind to defeat Sharks
198,Kuemper hurts eye in Coyotes' devastating loss to Kings
199,Avs blitz Oilers with six unanswered goals
200,"Wild hammer Jets, but playoff hopes dashed"
201,Canadiens beat Lightning to improve playoff chances
202,Red Wings keep Penguins from clinching playoff spot
203,"Radulov's 4 points help Stars beat Flyers, clinch playoffs"
204,"DeBrusk, Bruins bury Blue Jackets, 6-2"
205,Trump to meet Democrats on $1 trillion infrastructure push on April 30: sources
206,Trump 'not inclined' to give tax returns to House panel: White House
207,Judge sets May 14 hearing in Trump bid to block Congress demand on his finances
208,"DeBrusk, Bruins bury Blue Jackets, 6-2"
209,Hamilton helps Hurricanes bag critical win over Leafs
210,"Predators prevail, hand Sabres eighth straight setback"
211,"Red Wings, Blashill agree to two-year contract extension"
212,Predators' Watson returning from 27-game suspension
213,NHL roundup: Lightning reach 60 wins
214,Oilers see playoff hopes end during loss to Knights
215,"Top-seeded Flames rest players, still hammer Kings"
216,Jets beat Blackhawks in OT to regain top spot
217,Leafs trip Islanders to clinch playoff berth
218,Israel to name new town on Golan after Trump: Netanyahu
219,Kushner says Trump Middle East plan to be unveiled in June
220,Trump to make state visit to Britain in June
221,Lightning reach 60 wins with rout of Senators
222,Devils outlast Rangers to win home finale
223,Panthers snap Capitals' winning streak
224,Leafs trip Islanders to clinch playoff berth
225,"NHL roundup: Flames clinch division, conference titles"
226,"Flames top Sharks to clinch division, top seed"
227,Mantha's hat trick lifts Red Wings over Bruins
228,"Kuemper leads Coyotes past Wild, closer to playoff spot"
229,Bobrovsky notches ninth shutout as Jackets stifle Sabres
230,Fourth line powers Penguins past Hurricanes
231,Democrats to continue probes of Trump amid no consensus on impeachment
232,Elizabeth Warren proposes canceling billions in student loan debt
233,Congressman Moulton enters Democratic 2020 presidential race
234,Fourth line powers Penguins past Hurricanes
235,Rangers' Georgiev blanks Flyers
236,"NHL roundup: Islanders down Sabres, clinch playoff spot"
237,Ducks’ Rakell gets natural hat trick in win over Oilers
238,Kings' OT win dims Blackhawks' playoff hopes
239,Canucks' Granlund scores in shootout to beat Stars
240,Sharks snap skid with OT win over Knights
241,"Atkinson, Panarin power Blue Jackets to 5-2 win over Predators"
242,Ovechkin breaks 50-goal mark in Caps' win over Lightning
243,"Habs bury Jets, keep playoff hopes alive"
244,Top Democrats in Congress reject Barr's proposal to limit Mueller report access
245,"Democrats make legal bid for all Russia probe evidence, Trump poll numbers drop"
246,Trump lawyers reviewed Mueller report for 10 hours before it was made public
247,Dunn's OT goal adds to Blues' dominance of Devils
248,"Isles rout Sabres 5-1, clinch playoff berth"
249,Hurricanes dash Flyers' postseason hopes with 5-2 win
250,Panthers snap Bruins home-ice streak with 4-1 win
251,"NHL roundup: Vegas, St. Louis make playoffs despite losses"
252,Knights fall to Wild but still clinch playoff berth
253,Avalanche hold on to defeat Coyotes in shootout
254,Rangers rally to knock off playoff-bound Blues
255,Monahan's four-point night guides Flames past Ducks
256,Red Wings stay hot by shutting out Devils
257,Pelosi declines to comment on possibility of Trump impeachment
258,Rights group condemns U.S. 'vigilante' treatment of migrants on border
259,Trump backer Erik Prince's account of Russian banker contact differs from Mueller report
260,Red Wings stay hot by shutting out Devils
261,"Predators, Rinne (42 saves) shut down Penguins"
262,NHL roundup: Blue Jackets climb into playoff position
263,Canucks trim Kings on Pearson's shootout goal
264,DeBrincat scores twice as Blackhawks top Sharks
265,Blue Jackets earn valuable win vs. Canadiens
266,Top line guides Panthers past Senators
267,Bertuzzi’s OT goal helps Wings fly past Sabres
268,Benn's shootout goal lifts Stars over Oilers
269,"Islanders rally to edge Jets, near playoff berth"
270,U.S. court upholds most of California's 'sanctuary' migrant laws
271,Key quotes from U.S. Special Counsel Mueller's report
272,Potential Fed nominee Cain says not withdrawing from consideration
273,Capitals lock up playoff spot with win over Hurricanes
274,NHL roundup: Pastrnak hat trick leads Bruins over Rangers
275,Stars likely to be without Bishop at Edmonton
276,Avs edge Knights to set up showdown with Coyotes
277,Flyers prevail in Leafs' first shootout of season
278,"Pastrnak (3 goals, 2 assists) guides Bruins past Rangers"
279,Flyers prevail in Leafs' first shootout of season
280,NHL roundup: Oilers get two hat tricks in rout
281,Steel's first hat trick helps Ducks edge Canucks
282,"Coyotes blank Blackhawks, gain in playoff race"
283,White House counsel refused Trump's order to fire Mueller - report
284,Senate leader calls for raising minimum age to buy tobacco products to 21
285,"Factbox: Guilty pleas, indictments abound in Trump-Russia probe"
286,"Nugent-Hopkins, Draisaitl hat tricks lead Oilers past Kings"
287,Sens send Sabres to 13th consecutive road loss
288,"Caps knock off Hurricanes, expand Metro lead"
289,Tatar leads Canadiens to rout of Panthers
290,"Bobrovsky, Jackets blank Islanders"
291,NHL notebook: Lightning give Cooper multi-year extension
292,Lightning give coach Cooper multiyear extension
293,"NHL roundup: Lightning stun Bruins, step closer to history"
294,Penguins rally past Rangers
295,"Stars rout Jets, boost wild-card lead"
296,Trump's legal team calls Mueller report results 'victory' for Trump
297,Mueller report says 'substantial evidence' Trump's firing of FBI head linked to investigation
298,Factbox: Five things Attorney General Barr revealed about the Mueller report
299,Wings send Sharks to 6th consecutive loss
300,"Campbell, last-place Kings shut out 1st-place Flames"
301,Johansen's short-hander lifts Preds in shutout of Wild
302,"Sanford, Binnington lead Blues past Golden Knights"
303,"Lightning score 3 in 3rd period, stun Bruins"
304,Tavares scores 4 goals as Maple Leafs beat Panthers
305,Schneider stars as Devils shut down Sabres
306,Predators' Watson on long-term injury loan to AHL club
307,"NHL roundup: Caps sweep Flyers, keep division lead"
308,Bobrovsky gets 7th shutout as Jackets blank Canucks
309,Trump adviser visits Moscow for Kremlin talks
310,Top Congressional Democrats call for Mueller to testify publicly
311,Barr to discuss executive privilege in Russia report: spokeswoman
312,"Blackhawks beat Avalanche in OT, stay alive in race"
313,"Isles, Lehner blank slumping Coyotes"
314,"Hurricanes rally to tie, then beat Canadiens in OT"
315,Holtby halts 35 shots as Capitals beat Flyers
316,"NHL roundup: Connor bags hat trick, Jets clinch playoff spot"
317,"Mantha tallies two goals, Red Wings beat Knights in OT"
318,Giordano supplies points as Flames burn Canucks
319,Kings down Ducks on Kopitar's shootout goal
320,"McCann nets two, lifting Penguins over Stars"
321,Blues hold on after fast start to sweep past Lightning
322,Congress will receive Mueller report between 11 a.m. and 12 p.m. Thursday
323,Trump team readies PR offensive on North America trade deal's economic effects
324,Nadler says Congress will not get Mueller report until after Barr news conference
325,Rangers beat Leafs in OT to end losing streak
326,"Jets blank Preds, clinch playoffs on Connor's hat trick"
327,Habs rack up seven goals to beat Sabres
328,Bruins bury Panthers with 5 goals in 2nd period
329,"Teravainen helps Hurricanes rout Wild, 5-1"
330,"Senators win in OT, hurt Oilers’ playoff chances"
331,Wilson's go-ahead goal lifts Avalanche past Blackhawks
332,"Islanders top Flyers, inch closer to playoffs"
333,Coyotes miss out on valuable point in NJ
334,"Bruins captain Chara gets extension, will play 22nd season"
335,"House panels issue subpoenas to Deutsche Bank, others in Trump probe"
336,Battle over Trump tax returns could extend into 2020 election
337,Bernie Sanders' tax returns show he became millionaire after 2016 White House run
338,Wild move into wild-card spot with win over Caps
339,Ducks deal Sharks fifth straight loss
340,"NHL roundup: Crosby, Pens top Predators in shootout"
341,"Mangiapane, Flames blow past Senators"
342,Rookie Roy sparks Kings' rally vs. Sharks
343,"Hart stops 40, leads Flyers past Hawks"
344,"Karlsson, Smith carry red-hot Knights past Jets"
345,Streaking Lightning ride 4-goal 3rd past Canes
346,Top line leads Bruins past Devils
347,Grubauer stuffs Stars as Avalanche score big win
348,Millennial 'Mayor Pete' Buttigieg makes case for U.S. presidency
349,Mnuchin says 'analyzing the law' on Trump tax return request
350,Democratic presidential candidate Kamala Harris releases 15 years of tax returns
351,"McDavid, Oilers rally past Blue Jackets"
352,"Panthers’ Luongo snaps losing streak, stops Coyotes"
353,Price flawless as Canadiens blank Islanders
354,Crosby's shootout winner leads Penguins past Preds
355,Barbashev's first hat trick lifts Blues past Red Wings
356,"NHL: Blackhawks, Flyers to open 2019-20 NHL season in Czech Republic"
357,NHL roundup: Vasilevskiy sets saves mark in OT win over Caps
358,Jets stay hot as Hellebuyck blanks Ducks
359,Canucks hold off Senators for high-scoring win
360,Vasilevskiy sets Lightning saves mark in OT win over Caps
361,House panel chairman gives IRS April 23 deadline on Trump taxes
362,Mnuchin says won't 'weaponize' IRS in request for Trump tax returns
363,U.S. senators introduce social media bill to ban 'dark patterns' tricks
364,"Matthews, Tavares lead Leafs over Sabres"
365,NHL roundup: Caps alone atop Metro
366,"Schwartz nets hat trick, Blues throttle Oilers"
367,Avalanche dump Wild to gain in wild-card chase
368,"Flames shake off Jackets, extend Pacific lead"
369,"Radulov, Seguin lift Stars past Panthers"
370,"Rinne, Predators shut out Leafs"
371,Caps alone atop Metro after defeating Devils
372,Kuraly scores twice as Bruins blank Isles
373,Hamilton's shootout winner leads Canes past Penguins
374,Kamala Harris carves distinct early-state path in her 2020 White House bid
375,Trump says he does not want government to lead 5G effort
376,U.S. political consultant avoids prison time in case linked to Russia probe
377,Red Wings top Rangers to open road trip
378,Canadiens pick up big road win against Flyers
379,NHL roundup: Lightning capture Presidents' Trophy
380,Marchessault collects 4 points as Knights beat Sharks
381,Jets extend Central lead with 3-2 win over Kings
382,Lightning secure Presidents' Trophy in win over Coyotes
383,"Flyers stun Penguins late, win in OT"
384,Silfverberg's winner lifts Ducks past Panthers
385,"U.S. EPA chief defends big energy projects, says climate not top priority"
386,Text: Transcript of Reuters interview with EPA Administrator Andrew Wheeler
387,Cain's Fed chances in peril as fourth Republican opposes Trump pick
388,Schaller tallies two goals for Canucks in shootout win over Dallas
389,Knights stay hot with 6-3 win over Oilers
390,Nelson’s OT goal lifts Islanders over Wild
391,"Sabres defeat Blues in shootout, snap seven-game skid"
392,Barrie tallies twice as Avalanche blank Devils
393,"NHL roundup: Killorn, Lightning crush Caps"
394,Rookie Svechnikov scores again as Hurricanes top Sabres
395,Arvidsson tallies twice as Preds stop Sharks
396,Oilers beat Coyotes in OT to keep faint playoff hopes alive
397,Donato scores twice as Wild rip Rangers
398,U.S. House Democrats blame Trump for worsening border crisis
399,U.S. Senate leader McConnell notes Republican worries over Cain serving on Fed
400,U.S. Senate leader McConnell still weighing response to Saudi journalist's death
401,Donato scores twice as Wild rip Rangers
402,Crawford saves 48 as Blackhawks blank Canadiens
403,"Marchand's OT goal helps Bruins edge Jackets, end 3-game skid"
404,Paajarvi helps Senators knock off Maple Leafs
405,Killorn's first hat trick carries Lightning past Caps
406,Perreault's power-play tally lifts Jets over Flames
407,Athanasiou scores twice as Red Wings top Islanders
408,Dunn scores twice as Blues beat Penguins
409,Huberdeau rallies Panthers past Kings with late goal
410,NHL roundup: Tkachuk posts five-point game as Flames rout Rangers
411,U.S. presidential hopeful Warren proposes new corporate profit tax
412,U.S. Senate votes to confirm lobbyist Bernhardt as Interior Secretary
413,Explainer: Five questions on Trump's feud with the Fed
414,"Reaves, Fleury lift Golden Knights over Stars"
415,Severson's shootout goal gives Devils comeback win over Canucks
416,Tkachuk posts five-point game as Flames rout Rangers
417,Bobrovsky's 6th shutout lifts Jackets over Hurricanes
418,Leafs come back from 3 down for wild win over Flyers
419,"NHL roundup: Stamkos, Lightning reach milestones"
420,Panthers snap Sharks' six-game win streak
421,"Smith, Sissons carry Preds past Kings"
422,Hinostroza's first hat trick carries Coyotes over Ducks
423,"Ehlers, Jets hand Bruins third straight loss"
424,Trump says he will have to call up more military at U.S.-Mexico border
425,U.S. lawmakers grill bank CEOs on social issues
426,Trump signs orders targeting states' power to slow energy projects
427,"Ehlers, Jets hand Bruins third straight loss"
428,Penguins hand Sabres third straight shutout loss
429,"Stars lose Bishop, surge past Wild"
430,Lightning top Wings for 15th straight meeting
431,Nilsson stops 35 as Sens blank Blues
432,"Streaking Caps win again, topple Flyers"
433,Lee lifts Islanders to key win over Canadiens
434,"NHL roundup: Blackhawks build big lead, hold off Leafs"
435,Motte's back-to-back goals carry Canucks past Rangers
436,Devils double up Oilers to end 7-game skid
437,Factbox: Big bank CEOs face the heat over pay disparity at Capitol Hill
438,U.S. House approves net neutrality bill but legislation faces long odds
439,Senator Warren lags 2020 Democratic hopefuls in fundraising haul
440,Oilers' defense on rise ahead of Devils' visit
441,Price becomes Habs' winningest goalie in victory over Wings
442,"Ducks play spoiler, hold off Preds"
443,"Stars, Bishop repeat shutout feat vs. Sabres"
444,Sharks nip Jets with 5 seconds left for 6th straight win
445,Jenner’s 1st hat trick caps Jackets’ win over Bruins
446,Malkin reaches milestone as Pens halt Caps
447,Kuemper stops Blues as Coyotes stay in race
448,NHL roundup: Price makes Habs history
449,NHL roundup: Sharks move into first place in Pacific
450,"Exclusive: U.S. bill to boost electric car tax credits could rev GM, Tesla"
451,Trump says he has not seen or read Mueller's Russia probe report
452,"After U.S. court strikes down policy, what happens to migrants Trump sent back to Mexico?"
453,"Greiss, Isles shut out Blue Jackets"
454,"Mrazek, Hurricanes shut out Avalanche 3-0"
455,Perlini's hat trick leads Blackhawks' rout of Coyotes
456,Draisaitl's OT goal powers Oilers past Rangers
457,Flyers ease past flailing Senators
458,"Sharks shut out Wild, grab 1st place in Pacific"
459,Lightning hit milestone in win over Leafs
460,NHL roundup: Tkachuk records first career hat trick in Flames' win
461,Panthers rookies shine in rout over Red Wings
462,McCann scores twice as Penguins halt Bruins' point streak
463,McConnell: Trump has legitimate concerns about border
464,Mueller report will be released within a week: U.S. attorney general
465,Trump says he is not reviving U.S. immigration policy that separated children from parents
466,Capitals win seventh straight by beating Jets
467,Kings stop skid with 3-2 win over Ducks
468,Tkachuk records first career hat trick as Flames beat Knights
469,Hall of Famer Howell dies at 86
470,"Eichel, Voracek face NHL hearings"
471,"NHL roundup: Bruins edge Sens, run point streak to 19"
472,"Knights score 5 in first, blow past Canucks"
473,"DeBrincat, Kampf score as Blackhawks outlast Stars"
474,Coyotes inch closer to postseason with win over Kings
475,"Kucherov tallies two goals, leads Lightning past Red Wings"
476,Mnuchin says Treasury lawyers consulted White House on Trump tax returns
477,"Trump wants debt ceiling hike passed quickly, will not link to wall funds: Mnuchin"
478,"More than 100,000 migrants encountered at U.S. southern border in March: data"
479,Namestnikov helps Rangers rally past Devils
480,Flyers stay hot with win over Islanders
481,"Tavares, Leafs hold off Oilers' late charge"
482,Niederreiter scores twice as Hurricanes top Predators
483,"Bruins edge Sens, run point streak to 19"
484,Atkinson scores twice as Blue Jackets knock off Penguins
485,Labanc's winner lifts Sharks over Blues in OT
486,"Grubauer, MacKinnon help Avs shut out Sabres"
487,NHL: Rangers reach deal with G Huska
488,NHL roundup: Panthers' Barkov hands out five assists
489,"In second stint as U.S. attorney general, Barr faces toughest call on Mueller report"
490,Barr to release Mueller report 'within a week'
491,U.S. aid agency plans 'framework' to counteract Russia influence globally
492,Ducks explode for 8 goals in routing Canadiens
493,Barkov sets team mark with 5 assists in Panthers' win
494,Jets blow out Hurricanes 8-1
495,Capitals blank Devils for 6th straight win
496,NHL: Mobile games company Playtika becomes partner of Canadiens
497,NHL roundup: Wild snap Lightning's home win streak
498,"Oilers win fourth straight, edge Canucks 3-2"
499,Blues blast Kings to boost playoff hopes
500,Zucker hat trick leads Wild past Lightning 3-0
501,Red Wings end skid with OT win over Rangers
502,Secret Service chief to leave in Trump security shake-up
503,"Factbox: Trump administration departures, firings, reassignments"
504,U.S. House to vote on net neutrality bill on Tuesday
505,Sharks cruise past Canadiens
506,Surging Coyotes shut out Flames
507,Blackhawks slip past Sabres in shootout
508,Stars' Bishop blanks Avs for 2nd straight shutout
509,"Isles sweep Sens, move back into first"
510,"Murray, Pens blank Blue Jackets to strengthen position"
511,Bruins stun Panthers with two last-minute goals
512,"NHL roundup: Fleury, Knights stop Flames"
513,Blues sink Ducks with two late goals
514,Fleury prevails again as Knights top Flames
515,"Baltimore city council urges mayor to resign amid probe into $500,000 book payment"
516,"Democrats in Congress authorize subpoenas for Trump-Russia report, legal battle looms"
517,"Democratic-led House panel authorizes subpoenas for Mueller report, evidence"
518,Edler's OT goal lifts Canucks over Maple Leafs
519,Streaking Capitals jump on Flyers early for 5-3 win
520,NHL roundup: Price ties Habs' record for goalie wins
521,"Price downs Kings, ties Habs' mark for goalie wins"
522,MacKinnon sends Avs past Wings in OT
523,Ducks stop Coyotes' six-game win streak
524,"Bishop, Stars shut out Rangers"
525,Lightning down Jets to keep home streak alive
526,Johansen powers Preds past Wild in shootout
527,Islanders win shootout after losing Lehner
528,U.S. government says it could take two years to identify families separated at border
529,Herman Cain says he faces 'cumbersome' vetting for Fed board seat
530,President Trump says has not read Mueller report
531,Krejci powers Bruins past Hurricanes in OT
532,Islanders win shootout after losing Lehner
533,"Atkinson, Jackets top Devils in shootout"
534,Guentzel's OT winner sends Penguins past Panthers
535,Ennis' hat trick lifts Maple Leafs past Flames
536,2nd-period surge sends Oilers past Sabres
537,Red Wings legend Lindsay dies at 93
538,NHL roundup: Jets' Wheeler scores four in beating Jackets
539,Sharks explode in third to beat Blackhawks
540,"Predators rally late, win shootout over Wild"
541,"Trump touts rising U.S. border 'wall,' proposes economic penalty on Mexico"
542,Pence to address U.N. Security Council on Venezuela next week
543,U.S. targets Cuba's oil supply from Venezuela in new sanctions
544,Jets' Wheeler scores four in beating Jackets
545,Senators stop seven-game skid on Balcers' goal
546,"Fleury notches 56th shutout, Golden Knights beat Canucks"
547,Ovechkin lifts Capitals past Rangers in unusual shootout
548,Flyers skate past Islanders to stay hot
549,Ducks top Avalanche to end losing streak
550,Jets' Lowry suspended two games
551,NHL roundup: Benn’s hat trick leads Stars over Blues
552,"Wild extend winning streak, snap Calgary’s, 4-2"
553,"Benn posts hat trick to lead Stars past Blues, 4-1"
554,Trump: looking at economic penalty for drugs coming from Mexico
555,Trump says he will skip White House correspondents dinner
556,"As Trump eyed Cain for Fed, Cain raised money for Trump"
